decision_date,rate_change,decision,sentiment_date,sentiment,sentiment_dict,days_difference
2009-06-24,0.0,No Change,2009-06-10,-0.8267256654798985,"{'positive': 0.03888117894530296, 'negative': 0.8656068444252014, 'neutral': 0.09551196545362473}",14
2009-08-12,0.0,No Change,2009-07-29,-0.60255491361022,"{'positive': 0.050671402364969254, 'negative': 0.6532263159751892, 'neutral': 0.296102374792099}",14
2009-09-23,0.0,No Change,2009-09-09,-0.497429046779871,"{'positive': 0.049605634063482285, 'negative': 0.5470346808433533, 'neutral': 0.40335968136787415}",14
2009-11-04,0.0,No Change,2009-10-21,-0.5802144929766655,"{'positive': 0.06027770787477493, 'negative': 0.6404922008514404, 'neutral': 0.29923000931739807}",14
2009-12-16,0.0,No Change,2009-12-02,-0.216622307896614,"{'positive': 0.22901339828968048, 'negative': 0.44563570618629456, 'neutral': 0.32535091042518616}",14
2010-01-27,0.0,No Change,2010-01-13,-0.2082406878471374,"{'positive': 0.1492966115474701, 'negative': 0.35753729939460754, 'neutral': 0.49316608905792236}",14
2010-03-16,0.0,No Change,2010-03-03,-0.2618836462497711,"{'positive': 0.1325194537639618, 'negative': 0.3944031000137329, 'neutral': 0.4730774164199829}",13
2010-04-28,0.0,No Change,2010-04-14,-0.0540489852428436,"{'positive': 0.1570514291524887, 'negative': 0.21110041439533234, 'neutral': 0.631848156452179}",14
2010-06-23,0.0,No Change,2010-06-09,0.1645289957523346,"{'positive': 0.32658007740974426, 'negative': 0.16205108165740967, 'neutral': 0.5113689303398132}",14
2010-08-10,0.0,No Change,2010-07-28,-0.5924799293279648,"{'positive': 0.09446080029010773, 'negative': 0.6869407296180725, 'neutral': 0.21859851479530334}",13
2010-09-21,0.0,No Change,2010-09-08,0.0113646686077117,"{'positive': 0.17869220674037933, 'negative': 0.16732753813266754, 'neutral': 0.6539802551269531}",13
2010-11-03,0.0,No Change,2010-10-20,-0.0091690272092819,"{'positive': 0.24416150152683258, 'negative': 0.2533305287361145, 'neutral': 0.5025080442428589}",14
2010-12-14,0.0,No Change,2010-12-01,-0.2101014852523803,"{'positive': 0.1959860920906067, 'negative': 0.40608757734298706, 'neutral': 0.397926390171051}",13
2011-01-26,0.0,No Change,2011-01-01,0.0238207876682281,"{'positive': 0.22787226736545563, 'negative': 0.20405147969722748, 'neutral': 0.5680762529373169}",25
2011-03-15,0.0,No Change,2011-01-01,0.0238207876682281,"{'positive': 0.22787226736545563, 'negative': 0.20405147969722748, 'neutral': 0.5680762529373169}",73
2011-04-27,0.0,No Change,2011-04-01,-0.5586243942379951,"{'positive': 0.08524959534406662, 'negative': 0.6438739895820618, 'neutral': 0.2708764672279358}",26
2011-06-22,0.0,No Change,2011-06-01,-0.1043423861265182,"{'positive': 0.17392228543758392, 'negative': 0.2782646715641022, 'neutral': 0.5478130578994751}",21
2011-08-09,0.0,No Change,2011-07-01,-0.0967297703027725,"{'positive': 0.1314658224582672, 'negative': 0.22819559276103973, 'neutral': 0.6403385400772095}",39
2011-09-21,0.0,No Change,2011-09-01,-0.3886130005121231,"{'positive': 0.13454751670360565, 'negative': 0.5231605172157288, 'neutral': 0.34229201078414917}",20
2011-11-02,0.0,No Change,2011-11-01,0.0857177674770355,"{'positive': 0.3083047568798065, 'negative': 0.222586989402771, 'neutral': 0.46910831332206726}",1
2011-12-13,0.0,No Change,2011-11-01,0.0857177674770355,"{'positive': 0.3083047568798065, 'negative': 0.222586989402771, 'neutral': 0.46910831332206726}",42
2012-01-25,0.0,No Change,2012-01-01,0.1345559135079383,"{'positive': 0.24650801718235016, 'negative': 0.11195210367441177, 'neutral': 0.6415399312973022}",24
2012-03-13,0.0,No Change,2012-02-01,0.3015912920236587,"{'positive': 0.4207255244255066, 'negative': 0.11913423240184784, 'neutral': 0.46014025807380676}",41
2012-04-25,0.0,No Change,2012-02-01,0.3015912920236587,"{'positive': 0.4207255244255066, 'negative': 0.11913423240184784, 'neutral': 0.46014025807380676}",84
2012-06-20,0.0,No Change,2012-06-01,-0.0264061838388443,"{'positive': 0.1711355596780777, 'negative': 0.197541743516922, 'neutral': 0.6313226819038391}",19
2012-08-01,0.0,No Change,2012-08-01,-0.1388298720121383,"{'positive': 0.08854535222053528, 'negative': 0.22737522423267365, 'neutral': 0.6840793490409851}",0
2012-09-13,0.0,No Change,2012-08-01,-0.1388298720121383,"{'positive': 0.08854535222053528, 'negative': 0.22737522423267365, 'neutral': 0.6840793490409851}",43
2012-10-24,0.0,No Change,2012-10-01,0.0358408689498901,"{'positive': 0.19801487028598785, 'negative': 0.16217400133609772, 'neutral': 0.639811098575592}",23
2012-12-12,0.0,No Change,2012-11-01,-0.2403573542833328,"{'positive': 0.07421456277370453, 'negative': 0.31457191705703735, 'neutral': 0.6112135052680969}",41
2013-01-30,0.0,No Change,2013-01-01,0.0187920033931732,"{'positive': 0.22261588275432587, 'negative': 0.20382387936115265, 'neutral': 0.5735601782798767}",29
2013-03-20,0.0,No Change,2013-03-01,0.042993351817131,"{'positive': 0.16350077092647552, 'negative': 0.12050741910934448, 'neutral': 0.7159917950630188}",19
2013-05-01,0.0,No Change,2013-04-01,0.0927130877971649,"{'positive': 0.18694661557674408, 'negative': 0.09423352777957916, 'neutral': 0.7188199162483215}",30
2013-06-19,0.0,No Change,2013-06-01,0.1027888357639312,"{'positive': 0.2629905641078949, 'negative': 0.16020172834396362, 'neutral': 0.5768077373504639}",18
